prospect_id,prospect_person,company_business,role,source,evidence_they_appear_qualified,number_type_sites_managed_if_known,contact_route,outreach_priority,outreach_date,response,qualification_result,interview_status,interview_date,notes_evidence_reference
TB-P001,TB-P001,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,high,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P001
TB-P002,TB-P002,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,high,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P002
TB-P003,TB-P003,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,medium,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P003
TB-P004,TB-P004,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,high,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P004
TB-P005,TB-P005,withheld—private register,micro-agency/studio operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,high,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P005
TB-P006,TB-P006,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,medium,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P006
TB-P007,TB-P007,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,high,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P007
TB-P008,TB-P008,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,high,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P008
TB-P009,TB-P009,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,medium,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P009
TB-P010,TB-P010,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,high,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P010
TB-P011,TB-P011,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,high,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P011
TB-P012,TB-P012,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,medium,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P012
TB-P013,TB-P013,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,medium,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P013
TB-P014,TB-P014,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,medium,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P014
TB-P015,TB-P015,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,high,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P015
TB-P016,TB-P016,withheld—private register,micro-agency/studio operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,medium,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P016
TB-P017,TB-P017,withheld—private register,micro-agency/studio operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,high,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P017
TB-P018,TB-P018,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,medium,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P018
TB-P019,TB-P019,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,medium,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P019
TB-P020,TB-P020,withheld—private register,freelance/generalist operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,medium,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P020
TB-P021,TB-P021,withheld—private register,micro-agency/studio operator,official professional website (identity withheld),"Public professional site indicates SMB website/marketing work and some SEO, visibility, maintenance, or ongoing-support responsibility; all five criteria require interview confirmation.",unknown—confirm during qualification,public professional route in private register,low,,,unverified,not_scheduled,,private:stage1-prospect-register.csv#TB-P021
